features,accuracy,F1
feature num1,0.6527188790584444,0.6484627831533468
feature num2,0.6019205889551228,0.5988317764809044
feature num3,0.578091656507253,0.5776318300246157
feature num4,0.6673197205633781,0.6630971031502915
feature num5,0.6857798479598156,0.6813143444133855
feature num6,0.6938317724149272,0.6887956744353904
feature num7,0.6889231803178462,0.6838134483899069
feature num8,0.6993958005768053,0.6950197653860691
feature num9,0.7109828286944648,0.7063275175571248
feature num10,0.7123567459949354,0.7080772102495559
feature num11,0.7119656598668219,0.7070703398876008
feature num12,0.7169415833274755,0.7122349054817009
feature num13,0.7158902213684429,0.7114420738073376
feature num14,0.7238130547657005,0.7197381318190035
feature num15,0.7168748531610681,0.7121158670669506
feature num16,0.7225687423212955,0.7181639887343363
feature num17,0.7226339316536772,0.7179401061491698
feature num18,0.7236154347711805,0.7187935155985736
feature num19,0.7292452923408448,0.7249421376172676
feature num20,0.733632381159236,0.7293426602606337
